x,y,z,nx,ny,nz,sk
5.6606848697e-01,-6.1657051984e-02,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.4928000412e-03
-7.0937107200e-01,6.8849609186e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.2640000391e-03
5.5978339858e-01,-1.8968679808e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.3680000401e-03
-4.1135317122e-01,-1.0000000000e+00,-2.7602600233e-02,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.3696000309e-03
-6.7148746229e-01,3.6674119090e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.7456000252e-03
1.0000000000e+00,7.2085066689e-01,-1.4964686435e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9104000359e-03
4.0721395926e-01,8.3067817522e-02,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.8480000353e-03
-1.0000000000e+00,-4.6014140385e-01,-1.9099690236e-02,-1.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,2.8392000260e-03
-2.2056411102e-01,2.9550410275e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.4320000315e-03
2.0576898290e-01,-8.3468506742e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.8392000260e-03
-2.8784521449e-01,-5.8977811016e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4320000315e-03
-1.3699123129e-01,-1.0000000000e+00,-1.0608466724e-01,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,2.9224000268e-03
6.2490398247e-01,1.0000000000e+00,8.3005032881e-02,0.0000000000e+00,1.0000000000e+00,-0.0000000000e+00,3.7960000348e-03
1.1871485642e-02,7.6497813885e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.7960000348e-03
7.8623733468e-01,-2.6353984493e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.0992000284e-03
1.0000000000e+00,6.2758608570e-02,-3.4163223194e-02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0872000375e-03
-6.4787977598e-01,-9.6250504197e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.5152000322e-03
-2.5768597793e-01,7.8573454460e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.6608000336e-03
-2.6199629944e-02,-1.1210049892e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.9832000365e-03
1.2356543320e-01,3.5646526470e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.9936000366e-03
2.6349387868e-01,1.0000000000e+00,8.6702492297e-02,0.0000000000e+00,1.0000000000e+00,-0.0000000000e+00,2.9432000270e-03
-1.0000000000e+00,5.9570063735e-01,-8.1440542510e-02,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5672000327e-03
7.5207264005e-01,2.2327036125e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.6280000424e-03
1.0000000000e+00,7.0737069865e-01,6.6308093763e-02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.3504000216e-03
-2.4004949897e-01,6.3496850284e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.5256000323e-03
7.6314581653e-01,3.3684967974e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.2432000389e-03
-9.5315424004e-01,-8.8584116428e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.3296000214e-03
-4.1118530728e-01,-4.6900896330e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.4928000412e-03
3.0975298868e-01,1.8190849473e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.8496000261e-03
-5.6261918473e-01,8.9038418563e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.6712000337e-03
-2.0526370672e-01,-3.9335638220e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.2864000301e-03
2.7670555114e-01,6.9239971685e-02,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.7560000253e-03
6.4719212350e-01,-9.6804241572e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.1080000377e-03
2.8225506867e-01,7.8446746686e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.0872000375e-03
8.4189406549e-01,-8.9543840625e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.1512000289e-03
